"term","strength","rank"
"teacher performance",120,2351
"child labour",121,2369
"elementary school mathematics",121,2369
"emotional skills",121,2369
"physical exercise",121,2369
"primary schooling",121,2369
"school reform",121,2369
"social exclusion",121,2369
"education pre-service teachers",121,2369
"elementary education pre-service teachers",121,2369
"higher basic",121,2369
"programming activities",121,2369
"dental caries",122,2380
"gifted education",122,2380
"integrated approach",122,2380
"international standards",122,2380
"linear models",122,2380
"saudi arabia",122,2380
"social isolation",122,2380
"socioeconomic conditions",122,2380
"writing process",122,2380
"achieving universal",122,2380
"education board",122,2380
"innovative approach",122,2380
"inquiry-based science",122,2380
"learning behaviors",122,2380
"selected south",122,2380
"early diagnosis",123,2395
"face-to-face classes",123,2395
"mathematical skills",123,2395
"native language",123,2395
"preventive measures",123,2395
"self-directed learning",123,2395
"determining factors",123,2395
"balanced development",124,2402
"cultural factor",124,2402
"general public",124,2402
"healthy diet",124,2402
"human development index",124,2402
"learning attitudes",124,2402
"pedagogical intervention",124,2402
"population group",124,2402
"teaching in basic education",124,2402
"brazilian students",124,2402
"educational establishments",124,2402
"official curriculum",124,2402
"science process",124,2402
"secondary students",124,2402
"teacher training courses",124,2402
"technology curriculum",124,2402
"curriculum framework",125,2418
"gender issue",125,2418
"information processing",125,2418
"learning contents",125,2418
"local language",125,2418
"register data",125,2418
"rural china",125,2418
"brazilian federal",125,2418
"elementary public",125,2418
"support school",125,2418
"hands-on learning",126,2428
"item response theory",126,2428
"personal experience",126,2428
"policy reform",126,2428
"research studies",126,2428
"school effect",126,2428
"sexual behavior",126,2428
"sign language",126,2428
"united kingdom",126,2428
"adult english",126,2428
"finnish school",126,2428
"response theory",126,2428
"teaching approaches",126,2428
"ability to understand",127,2441
"climate change",127,2441
"communications technology",127,2441
"design thinking",127,2441
"educational administration",127,2441
"environmental factor",127,2441
"family health",127,2441
"learning to read",127,2441
"basic science",127,2441
"computational thinking skills",127,2441
"education access",127,2441
"randomized control trial",127,2441
"school practices",127,2441
"cognitive strategies",128,2454
"problem-based learning",128,2454
"psychological distress",128,2454
"public management",128,2454
"the new curriculum reform",128,2454
"visual impairment",128,2454
"enhancing student",128,2454
"physical activities",128,2454
"rural household",128,2454
"rural south africa",128,2454
"capacity building",129,2464
"design-based research",129,2464
"early childhood development",129,2464
"elementary teacher education",129,2464
"media literacy",129,2464
"pedagogical support",129,2464
"childhood development",129,2464
"curricular parameters",129,2464
"elementary mathematics education",129,2464
"programming language",129,2464
"science student",129,2464
"basic education quality",130,2475
"child health",130,2475
"clinical trial",130,2475
"gender inequality",130,2475
"palliative care",130,2475
"special needs education",130,2475
"substance abuse",130,2475
"teacher-student interaction",130,2475
"tobacco use",130,2475
"computer assisted",130,2475
"identity development",130,2475
"professional teacher",130,2475
"follow up",131,2487
"school climate",131,2487
"small groups",131,2487
"educational programme",131,2487
"project based",131,2487
"cancer screening",132,2492
"drop out",132,2492
"multilevel analysis",132,2492
"phonological awareness",132,2492
"reading literacy",132,2492
"sultanate of oman",132,2492
"teaching strategy",132,2492
"compulsory universal",132,2492
"cross sectional study",132,2492
"elementary science methods",132,2492
"spanish elementary",132,2492
"written production",132,2492
"future generations",133,2504
"life expectancy",133,2504
"migrant children",133,2504
"rural women",133,2504
"school development",133,2504
"video recording",133,2504
"control trial",133,2504
"design principles",133,2504
"elementary education preservice",133,2504
"future elementary school",133,2504
"future elementary school teachers",133,2504
"quality evaluation",133,2504
"social determinants",133,2504
"educational change",134,2517
"inclusive schools",134,2517
"motivation to learn",134,2517
"parent involvement",134,2517
"public expenditure",134,2517
"school libraries",134,2517
"science achievement",134,2517
"teacher characteristics",134,2517
"technological pedagogical content knowledge",134,2517
"basic education classes",134,2517
"inclusive classrooms",134,2517
"industrial revolution",134,2517
"primary school studentsâ€™",134,2517
"teacher trainees",134,2517
"technological pedagogical content",134,2517
"anxiety disorder",135,2532
"creative teaching",135,2532
"diabetic patient",135,2532
"educaciã³n fã­sica",135,2532
"environmental problems",135,2532
"informal science education",135,2532
"primary education teacher",135,2532
"professional learning communities",135,2532
"diabetic patients",135,2532
"education classrooms",135,2532
"national study",135,2532
"studentsâ€™ mathematical",135,2532
"sub-saharan african",135,2532
"turkish language",135,2532
"information technologies",136,2546
"learning gains",136,2546
"non-governmental organization",136,2546
"teacher-student relationship",136,2546
"education provision",136,2546
"education spending",136,2546
"masterâ€™s degree",136,2546
"pre-service elementary school",136,2546
"pre-service elementary school teachers",136,2546
"attitude scale",137,2555
"computer use",137,2555
"educational robotics",137,2555
"history of education",137,2555
"learning technology",137,2555
"social interactions",137,2555
"critical analysis",137,2555
"education expenditure",137,2555
"elementary preservice teachersâ€™",137,2555
"sarva shiksha",137,2555
"systematic literature review",137,2555
"teacher education courses",137,2555
"alcoholic beverages",138,2567
"community members",138,2567
"cluster randomized",138,2567
"elementary education schools",138,2567
"mathematical content",138,2567
"sciences teacher",138,2567
"deep learning",139,2573
"educational indicators",139,2573
"key competences",139,2573
"social learning",139,2573
"socioeconomic position",139,2573
"student success",139,2573
"african context",139,2573
"primary basic",139,2573
"primary basic education",139,2573
"south african context",139,2573
"creative thinking",140,2583
"history teaching",140,2583
"mass media",140,2583
"socio-economic factors",140,2583
"south korea",140,2583
"portuguese basic education",140,2583
"predictive power",140,2583
"arts education",141,2590
"body weight",141,2590
"curriculum policies",141,2590
"educational assessment",141,2590
"inquiry-based learning",141,2590
"medical student",141,2590
"medical students",141,2590
"social inclusion",141,2590
"technology teachers",141,2590
"work experience",141,2590
"african basic",141,2590
"african basic education",141,2590
"brazilian public schools",141,2590
"south african basic",141,2590
"south african basic education",141,2590
"southern african",141,2590
"course content",142,2606
"critical pedagogy",142,2606
"educational inequality",142,2606
"experimental conditions",142,2606
"first language",142,2606
"health policy",142,2606
"interactive whiteboard",142,2606
"mathematical thinking",142,2606
"perceived usefulness",142,2606
"primary school education",142,2606
"social practices",142,2606
"socio-demographic factors",142,2606
"final years",142,2606
"foreign language learning",142,2606
"general practitioner",143,2620
"machine learning",143,2620
"school psychology",143,2620
"basic education resources",143,2620
"educational facilities",143,2620
"learning media",143,2620
"prospective elementary",143,2620
"scientific production",143,2620
"services provided",143,2620
"concept map",144,2629
"digital learning",144,2629
"education reforms",144,2629
"emotional exhaustion",144,2629
"information systems",144,2629
"knowledge production",144,2629
"poverty alleviation",144,2629
"sexuality education",144,2629
"strategic planning",144,2629
"system of education",144,2629
"type 2 diabetes",144,2629
"assisted learning",144,2629
"language instruction",144,2629
"systematic literature",144,2629
"teachersâ€™ views",144,2629
"adaptive learning",145,2644
"educational equity",145,2644
"informed consent",145,2644
"quality assessment",145,2644
"reading instruction",145,2644
"technological development",145,2644
"professional experience",145,2644
"studentsâ€™ writing",145,2644
"activity theory",146,2652
"educational games",146,2652
"indigenous people",146,2652
"mathematical problem solving",146,2652
"social transformation",146,2652
"teaching activity",146,2652
"mental illness",146,2652
"national system",146,2652
"public educational institutions",146,2652
"survey study",146,2652
"teaching english",146,2652
"income inequality",147,2663
"learning systems",147,2663
"mathematical concepts",147,2663
"mathematical problems",147,2663
"process of learning",147,2663
"teacher perceptions",147,2663
"government policies",147,2663
"healthcare services",147,2663
"active methodologies",148,2671
"computer technology",148,2671
"constructivist learning",148,2671
"life orientation",148,2671
"music teachers",148,2671
"nineteenth century",148,2671
"teaching quality",148,2671
"conceptual knowledge",148,2671
"initial years",148,2671
"rural community",148,2671
"socioeconomic inequalities",148,2671
"educational services",149,2682
"educational support",149,2682
"engineering education",149,2682
"english education",149,2682
"intellectual disability",149,2682
"multilingual education",149,2682
"religious education",149,2682
"teacher work",149,2682
"education preservice teachers",149,2682
"regular education",149,2682
"bachelor's degree",150,2692
"collaborative research",150,2692
"flipped classroom",150,2692
"health center",150,2692
"health insurance",150,2692
"school closure",150,2692
"school library",150,2692
"teacher identity",150,2692
"primary grade",150,2692
"school enrollment",150,2692
"access to higher education",151,2702
"arterial hypertension",151,2702
"learning tasks",151,2702
"social welfare",151,2702
"assessment criteria",151,2702
"portuguese basic",151,2702
"rural basic",151,2702
"rural basic education",151,2702
"studentsâ€™ performance",151,2702
"information society",152,2711
"language education",152,2711
"middle east",152,2711
"population-based study",152,2711
"programming education",152,2711
"school inclusion",152,2711
"decision-making process",152,2711
"lesson planning",152,2711
"alcoholic beverage",153,2719
"executive function",153,2719
"primary students",153,2719
"compulsory school",153,2719
"teaching efficacy beliefs",153,2719
"basic education in finland",154,2724
"classroom learning",154,2724
"didactic sequence",154,2724
"group work",154,2724
"psychosocial factors",154,2724
"substance use",154,2724
"digital educational",154,2724
"educational computer",154,2724
"educational stage",154,2724
"elementary school science",154,2724
"learning skills",154,2724
"computer games",155,2735
"individual differences",155,2735
"process skills",155,2735
"cognitive abilities",156,2738
"developing country",156,2738
"school quality",156,2738
"statistical data",156,2738
"survey research",156,2738
"technology in education",156,2738
"teachersâ€™ attitudes",156,2738
"cervical cancer",157,2745
"evaluation of education",157,2745
"resource allocation",157,2745
"social representations",157,2745
"teacher knowledge",157,2745
"writing instruction",157,2745
"preschool teachers",157,2745
"local community",158,2752
"school learning",158,2752
"student motivation",158,2752
"teacher perception",158,2752
"type 2",158,2752
"education teacher training",158,2752
"explanatory variables",158,2752
"inquiry activities",158,2752
"phase teachers",158,2752
"digital platform",159,2761
"mathematics teacher education",159,2761
"physical sciences",159,2761
"teaching methodology",159,2761
"vulnerable populations",159,2761
"social studies methods",159,2761
"sociodemographic profile",159,2761
"studentsâ€™ attitudes",159,2761
"studies methods",159,2761
"child development",160,2770
"scientific concepts",160,2770
"development model",160,2770
"elementary school teachersâ€™",160,2770
"federal district",160,2770
"science lessons",160,2770
"teacher program",160,2770
"african american",161,2777
"teacher formation",161,2777
"health knowledge",162,2779
"holistic approach",162,2779
"household survey",162,2779
"basic health",162,2779
"classroom context",163,2783
"policy analysis",163,2783
"african public schools",163,2783
"informal science",163,2783
"south african public schools",163,2783
"nutrition education",164,2788
"online teaching",164,2788
"research work",164,2788
"self-determination theory",164,2788
"social representation",164,2788
"education departments",164,2788
"food consumption",165,2794
"free education",165,2794
"pre-service teacher education",165,2794
"early elementary school",165,2794
"education preservice",165,2794
"english teachers",165,2794
"numeracy skills",165,2794
"cause of death",166,2801
"english teaching",166,2801
"health facilities",166,2801
"inclusive practices",166,2801
"post-basic education",166,2801
"working memory",166,2801
"evaluation model",166,2801
"students learning",166,2801
"environmental awareness",167,2809
"management practice",167,2809
"project-based learning",167,2809
"prospective study",167,2809
"public spending",167,2809
"management practices",167,2809
"school-aged children",167,2809
"socioeconomic differences",167,2809
"curriculum content",168,2817
"drug use",168,2817
"early elementary education",168,2817
"educational inequalities",168,2817
"elementary education in india",168,2817
"empirical analysis",168,2817
"science classroom",168,2817
"brazilian municipalities",168,2817
"burnout syndrome",169,2825
"basic education sector",169,2825
"mathematical learning",169,2825
"school english",169,2825
"service providers",169,2825
"specific learning",169,2825
"studentsâ€™ achievement",169,2825
"life satisfaction",170,2832
"visual arts",170,2832
"education pre-service",170,2832
"elementary education pre-service",170,2832
"elementary educators",170,2832
"protective factors",170,2832
"cardiovascular risk",171,2838
"language development",171,2838
"pedagogy course",171,2838
"school improvement",171,2838
"teacher efficacy",171,2838
"writing performance",171,2838
"preservice elementary education teachers",171,2838
"formal learning",172,2845
"problem-solving skills",172,2845
"school management team",172,2845
"elementary education school",172,2845
"pre-elementary education",172,2845
"system based",172,2845
"adult learning",173,2851
"classroom interaction",173,2851
"physical education lesson",173,2851
"teaching performance",173,2851
"grade classrooms",173,2851
"academic achievements",174,2856
"continuous training",174,2856
"educational evaluation",174,2856
"internet access",174,2856
"mental health services",174,2856
"elementary pre-service",174,2856
"elementary pre-service teachers",174,2856
"elementary school education",174,2856
"rural primary school",174,2856
"cognitive development",175,2865
"disadvantaged students",175,2865
"instructional methods",175,2865
"limpopo province",175,2865
"mixed methods study",175,2865
"north america",175,2865
"intellectual disabilities",175,2865
"junior secondary",175,2865
"global education",176,2873
"digital media",177,2874
"preservice elementary education",177,2874
"african public",177,2874
"basic education programmes",177,2874
"paulo state",177,2874
"south african public",177,2874
"school physical education",178,2880
"work conditions",178,2880
"culturally responsive",178,2880
"support system",178,2880
"knowledge management",179,2884
"language teachers",179,2884
"learning support",179,2884
"lesson study",179,2884
"multiple regression analysis",179,2884
"prevalence ratio",179,2884
"rating scale",179,2884
"spatial analysis",179,2884
"education context",179,2884
"correlational study",180,2893
"social inequalities",180,2893
"learning contexts",180,2893
"professional performance",180,2893
"20th century",181,2897
"education management",181,2897
"influencing factors",181,2897
"instructional design",181,2897
"medium of instruction",181,2897
"twenty-first century",181,2897
"curriculum change",182,2903
"eating habit",182,2903
"english learning",182,2903
"southern africa",182,2903
"eating habits",182,2903
"national program",182,2903
"computer programming",183,2909
"implementation process",183,2909
"mortality rate",183,2909
"social problems",183,2909
"teacher practice",183,2909
"government schools",183,2909
"teaching self-efficacy",183,2909
"digital resources",184,2916
"knowledge construction",184,2916
"preschool child",184,2916
"preschool children",184,2916
"social environment",184,2916
"universal elementary education",184,2916
"universal elementary",184,2916
"design process",185,2923
"fundamental education",185,2923
"social context",185,2923
"word problems",185,2923
"elementary social studies",185,2923
"multiple factors",185,2923
"employment status",186,2929
"mathematics achievement",186,2929
"mental health service",186,2929
"school-age children",186,2929
"fourth graders",186,2929
"regular schools",186,2929
"technological pedagogical",186,2929
"beginning teachers",187,2936
"health behavior",187,2936
"meaningful learning",187,2936
"teacher learning",187,2936
"earth science",188,2940
"ethnic group",188,2940
"large-scale assessment",188,2940
"one-way anova",188,2940
"principal component analysis",188,2940
"basic education stage",188,2940
"childhood teacher",188,2940
"early childhood teacher",188,2940
"general basic",188,2940
"general basic education",188,2940
"school learners",188,2940
"textual analysis",188,2940
"east asia",189,2952
"faculty members",189,2952
"graduate education",189,2952
"high school teachers",189,2952
"teaching system",189,2952
"virtual learning environment",189,2952
"policy implications",189,2952
"teachersâ€™ professional development",189,2952
"primary health care",190,2960
"brazilian educational",190,2960
"gauteng province",190,2960
"remote education",191,2963
"skills development",191,2963
"waist circumference",191,2963
"beginning teacher",191,2963
"cognitive function",191,2963
"poverty reduction",191,2963
"school contexts",191,2963
"education lesson",192,2970
"solving problems",192,2970
"elementary education teacher candidates",193,2972
"older people",194,2973
"research in education",194,2973
"social implication",194,2973
"social implications",194,2973
"learning module",194,2973
"public school system",194,2973
"skills training",194,2973
"student teachersâ€™",194,2973
"cultural diversity",195,2981
"curriculum documents",195,2981
"panel data",195,2981
"professional development of teachers",195,2981
"public sector",195,2981
"learning science",195,2981
"educational settings",196,2987
"international education",196,2987
"public services",196,2987
"education mathematics",196,2987
"school activities",196,2987
"science concepts",196,2987
"depression scale",197,2993
"health worker",197,2993
"longitudinal data",197,2993
"pedagogical strategies",197,2993
"teacher self-efficacy",197,2993
"childrenâ€™s education",197,2993
"large scale",197,2993
"qualified teachers",197,2993
"gender equality",198,3001
"older adults",198,3001
"elementary social",198,3001
"state public",198,3001
"assessment instrument",199,3005
"cardiovascular diseases",199,3005
"ict integration",199,3005
"reproductive health",199,3005
"special education teachers",199,3005
"education experience",199,3005
"data envelopment analysis",200,3011
"everyday life",200,3011
"financial support",200,3011
"professional identity",200,3011
"brazilian schools",200,3011
"envelopment analysis",200,3011
"studentsâ€™ motivation",200,3011
"early education",201,3018
"life skills",201,3018
"quality assurance",201,3018
"self-regulated learning",201,3018
"standardized tests",201,3018
"education teaching",201,3018
"improve education",201,3018
"social service",201,3018
"educaciã³n bã¡sica",202,3026
"learning assessment",202,3026
"social issues",202,3026
"gender gap",203,3029
"modern education",203,3029
"teacher training programs",203,3029
"correlation analysis",204,3032
"european countries",204,3032
"student outcomes",204,3032
"teaching students",204,3032
"stem education",205,3036
"teaching resources",205,3036
"work environment",205,3036
"future elementary",205,3036
"people living",205,3036
"socioeconomic characteristics",205,3036
"heart disease",206,3042
"learning activity",206,3042
"learning communities",206,3042
"repeated measures",206,3042
"challenges facing",206,3042
"educational project",206,3042
"school pupils",206,3042
"health program",207,3049
"observational study",207,3049
"public school teachers",207,3049
"school physical",207,3049
"pedagogical work",208,3053
"pre-school education",208,3053
"teaching of mathematics",208,3053
"teaching experiences",208,3053
"assessment method",209,3057
"vulnerable population",209,3057
"assessment practices",209,3057
"learning attitude",209,3057
"rural south",209,3057
"alcohol use",210,3062
"digital education",210,3062
"living conditions",210,3062
"school infrastructure",210,3062
"socioeconomic factors",210,3062
"classroom management",211,3067
"cognitive processes",211,3067
"comprehensive school",211,3067
"music education",211,3067
"social status",211,3067
"spatial distribution",211,3067
"metropolitan region",211,3067
"professional competence",212,3074
"municipal public",212,3074
"further education",213,3076
"scientific literacy",213,3076
"education standards",213,3076
"digital divide",214,3079
"middle schools",214,3079
"primary school children",214,3079
"primary teachers",214,3079
"social change",215,3083
"fifth-grade students",216,3084
"social inequality",216,3084
"teaching skills",216,3084
"class size",217,3087
"comparative education",217,3087
"middle school students",217,3087
"national curriculum guidelines",217,3087
"prova brasil",217,3087
"school census",217,3087
"student participation",217,3087
"finnish teachers",217,3087
"motor skills",218,3095
"school attendance",218,3095
"students' performance",218,3095
"teaching career",218,3095
"word problem",218,3095
"national curricular",218,3095
"english language learners",219,3101
"quasi-experimental research",219,3101
"cross sectional",219,3101
"language teacher",219,3101
"learning platform",219,3101
"educational innovation",220,3106
"rural education",220,3106
"students' perceptions",220,3106
"computer game",221,3109
"eastern cape",221,3109
"cancer patient",222,3111
"cluster analysis",222,3111
"k to 12",222,3111
"labour market",222,3111
"cancer patients",222,3111
"school years",222,3111
"artificial intelligence",223,3117
"mental disorders",223,3117
"subjective norm",223,3117
"education teacher candidates",223,3117
"effective implementation",223,3117
"basic skills",224,3122
"out of school",224,3122
"teaching efficacy",224,3122
"national university",224,3122
"breast cancer",225,3126
"engineering design",225,3126
"international society",225,3126
"paradigm shift",225,3126
"reflective practice",225,3126
"basic education assessment",225,3126
"rural primary",225,3126
"educational achievement",226,3133
"educational management",226,3133
"social networks",226,3133
"university hospital",226,3133
"education settings",226,3133
"south african education",226,3133
"undergraduate courses",226,3133
"learning situation",227,3140
"medical record",227,3140
"portuguese language",228,3142
"school achievement",228,3142
"neural network",228,3142
"interpersonal relations",230,3145
"sociodemographic factors",230,3145
"teachersâ€™ professional",230,3145
"learning community",231,3148
"virtual learning",231,3148
"government school",231,3148
"public institution",231,3148
"school settings",231,3148
"developed countries",232,3153
"nutritional status",232,3153
"african education",232,3153
"blended learning",234,3156
"digital game-based learning",234,3156
"english as a foreign language",234,3156
"compulsory basic",234,3156
"education classroom",234,3156
"education degree",234,3156
"learning strategy",235,3162
"school governing bodies",235,3162
"universal primary education",235,3162
"female teachers",235,3162
"mathematics curriculum",235,3162
"best practices",236,3167
"school administration",236,3167
"elementary preservice teachers",236,3167
"learning english",236,3167
"ninth grade",236,3167
"depressive symptoms",237,3172
"structural equation modelling",237,3172
"grade elementary school",237,3172
"health professionals",237,3172
"learning context",238,3176
"academic success",239,3177
"cognitive skills",239,3177
"curriculum implementation",239,3177
"external evaluation",239,3177
"school dropout",239,3177
"world health organization",239,3177
"common national",239,3177
"health conditions",239,3177
"emergency remote teaching",240,3185
"critical thinking skills",241,3186
"degree program",241,3186
"selected schools",241,3186
"field experiences",242,3189
"professional knowledge",242,3189
"secondary school teachers",242,3189
"mathematics classroom",242,3189
"chronic diseases",244,3193
"data mining",244,3193
"finnish education",244,3193
"lived experiences",244,3193
"multilevel model",244,3193
"philippine basic",244,3193
"philippine basic education",244,3193
"critical discourse analysis",245,3200
"entrepreneurship education",245,3200
"government policy",245,3200
"protective factor",245,3200
"school enrolment",245,3200
"school mathematics",245,3200
"self-efficacy scale",245,3200
"mathematics instruction",246,3207
"social work",246,3207
"sixth-grade students",246,3207
"teachersâ€™ beliefs",246,3207
"upper elementary",246,3207
"convenience sample",248,3212
"literacy program",248,3212
"social class",248,3212
"digital technology",249,3215
"young learners",249,3215
"policy implementation",250,3217
"education model",250,3217
"contextual factors",251,3219
"low income",251,3219
"health system",251,3219
"learning program",251,3219
"upper secondary education",251,3219
"community health",252,3224
"professional practice",252,3224
"scientific inquiry",252,3224
"world bank",252,3224
"learning model",252,3224
"public university",253,3229
"early stage",253,3229
"school experience",253,3229
"cognitive load",254,3232
"level education",254,3232
"model based",254,3232
"primary level",254,3232
"early grades",255,3236
"curricular reform",256,3237
"learning theory",256,3237
"scientific research",256,3237
"the czech republic",256,3237
"basic education programs",256,3237
"elementary preservice",257,3242
"autism spectrum disorder",258,3243
"digital skills",258,3243
"non-formal education",258,3243
"service delivery",258,3243
"autism spectrum",258,3243
"health outcomes",258,3243
"labor market",259,3249
"national education plan",259,3249
"preschool education",259,3249
"basic education reform",259,3249
"brazilian public",259,3249
"proposed model",259,3249
"public primary schools",260,3255
"environmental issue",261,3256
"environmental issues",261,3256
"intrinsic motivation",261,3256
"mobile devices",261,3256
"social problem",261,3256
"solving skills",261,3256
"learning disabilities",262,3262
"educational model",263,3263
"high school education",263,3263
"lessons learned",263,3263
"language proficiency",263,3263
"maternal education",264,3267
"secondary school teacher",264,3267
"educational game",265,3269
"right to basic education",265,3269
"vocational training",265,3269
"critical discourse",265,3269
"computer program",266,3273
"field study",267,3274
"literacy education",267,3274
"metropolitan area",267,3274
"southern taiwan",268,3277
"survey method",268,3277
"time spent",268,3277
"teachers' perceptions",269,3280
"education practices",269,3280
"education services",269,3280
"learning achievements",269,3280
"ponta grossa",269,3280
"daily lives",270,3285
"digital game-based",270,3285
"czech republic",271,3287
"education assessment",271,3287
"analysis based",271,3287
"educational processes",271,3287
"learning practices",271,3287
"national development",271,3287
"public universities",271,3287
"rural communities",271,3287
"private sector",272,3295
"social relations",272,3295
"education teachersâ€™",272,3295
"citizenship education",273,3298
"demographic profile",273,3298
"information literacy",274,3300
"linear regression analysis",274,3300
"current state",274,3300
"municipal schools",274,3300
"school classrooms",275,3304
"literacy instruction",277,3305
"national assessment",277,3305
"learning styles",278,3307
"new technologies",278,3307
"pedagogical knowledge",278,3307
"physical science",279,3310
"virtual reality",280,3311
"emergency remote",280,3311
"national survey",280,3311
"study based",280,3311
"social media",281,3315
"european union",282,3316
"learning difficulties",282,3316
"prior knowledge",282,3316
"student engagement",282,3316
"learning methods",282,3316
"teach science",283,3321
"science courses",284,3322
"studentsâ€™ academic",284,3322
"teacher candidatesâ€™",284,3322
"conceptual understanding",285,3325
"pre-service elementary teachers",285,3325
"education resources",285,3325
"school teaching",285,3325
"mathematical problem",286,3329
"science instruction",287,3330
"language learners",287,3330
"english language teaching",288,3332
"household income",288,3332
"initial teacher education",288,3332
"student teaching",288,3332
"education based",288,3332
"instructional materials",289,3337
"subject areas",289,3337
"state education",289,3337
"economic conditions",290,3340
"educational status",290,3340
"effective learning",290,3340
"classroom instruction",290,3340
"clinical practice",291,3344
"grade r",291,3344
"educational contexts",291,3344
"national educational",291,3344
"school culture",292,3348
"spectrum disorder",292,3348
"improving students",293,3350
"state schools",293,3350
"health risk",294,3352
"language skills",295,3353
"education resource",296,3354
"in-service training",296,3354
"nature of science",296,3354
"national health",296,3354
"public primary",296,3354
"high quality",297,3359
"statistical significance",297,3359
"young adults",297,3359
"elementary grades",297,3359
"national school",299,3363
"alcohol consumption",303,3364
"early grade",303,3364
"education curriculum reform",303,3364
"experimental groups",304,3367
"national standard",304,3367
"quantitative analysis",304,3367
"treatment group",304,3367
"educational activities",304,3367
"teachersâ€™ self-efficacy",304,3367
"primary teacher",305,3373
"social practice",305,3373
"physical education classes",306,3375
"professional development program",306,3375
"basic level",307,3377
"basic education institutions",308,3378
"educational programs",309,3379
"cross-sectional survey",309,3379
"primary health",309,3379
"art education",310,3382
"children with disabilities",311,3383
"descriptive research",311,3383
"elementary school studentsâ€™",311,3383
"adult literacy",312,3386
"emotional intelligence",312,3386
"pregnant women",312,3386
"education science",312,3386
"methods study",312,3386
"sixth graders",312,3386
"active learning",313,3392
"self-efficacy beliefs",313,3392
"cognitive process",314,3394
"collaborative work",314,3394
"private education",314,3394
"science teacher education",314,3394
"urban schools",316,3398
"mathematics learning",317,3399
"basic schools",319,3400
"formative assessment",319,3400
"educaã§ã£o bã¡sica",321,3402
"learning tool",321,3402
"learning effectiveness",323,3404
"school health",323,3404
"learning objectives",324,3406
"regular school",324,3406
"education process",325,3408
"general population",325,3408
"cardiovascular disease",326,3410
"efficacy scale",326,3410
"educational intervention",327,3412
"professional education",328,3413
"socioeconomic level",328,3413
"teaching staff",329,3415
"digital competence",330,3416
"research group",330,3416
"training process",330,3416
"educational reforms",332,3419
"learning style",332,3419
"confidence intervals",333,3421
"school leadership",333,3421
"chronic disease",334,3423
"computer science",334,3423
"primary care",334,3423
"young students",334,3423
"public service",335,3427
"teaching model",335,3427
"mathematical knowledge",336,3429
"public health problem",336,3429
"social factors",336,3429
"technology use",336,3429
"human resources",337,3433
"socio-economic status",338,3434
"teachers' perception",338,3434
"elementary teachersâ€™",338,3434
"healthy lifestyle",339,3437
"hierarchical linear model",339,3437
"hierarchical linear",339,3437
"foundation phase",340,3440
"science curriculum",340,3440
"elementary school children",341,3442
"family members",342,3443
"content validity",344,3444
"assessment tool",345,3445
"health literacy",346,3446
"latin american",346,3446
"random sample",347,3448
"augmented reality",348,3449
"municipal education",350,3450
"school subject",352,3451
"school teachersâ€™",352,3451
"poisson regression",353,3453
"preservice elementary teachers",353,3453
"teaching work",353,3453
"diabetes mellitus",354,3456
"educational development",354,3456
"parental involvement",354,3456
"science methods course",354,3456
"education project",354,3456
"training courses",354,3456
"basic educational",356,3462
"test results",357,3463
"male teachers",358,3464
"pre-service teachersâ€™",358,3464
"university education",360,3466
"cohort study",361,3467
"education quality",361,3467
"writing skills",361,3467
"remote teaching",362,3470
"communication skills",363,3471
"mother tongue",363,3471
"educational service",363,3471
"educational opportunities",365,3474
"sustainable development goals",365,3474
"empirical research",366,3476
"school administrators",367,3477
"communication skill",368,3478
"classroom practices",370,3479
"classroom teaching",370,3479
"effective teaching",370,3479
"social network",370,3479
"students with disabilities",370,3479
"lower secondary",370,3479
"cooperative learning",372,3485
"professional training",372,3485
"sociodemographic variables",374,3487
"african countries",374,3487
"experimental research",375,3489
"oral health",375,3489
"basic education policy",375,3489
"development of basic education",376,3492
"young adult",376,3492
"brazilian state",376,3492
"construct validity",377,3495
"education stage",377,3495
"adult learner",378,3497
"adult learners",378,3497
"students attending",378,3497
"systematic review",379,3500
"empirical study",380,3501
"millennium development goals",380,3501
"preservice teachersâ€™",380,3501
"control groups",382,3504
"teaching approach",383,3505
"grade teachers",384,3506
"related factors",384,3506
"teachers perceive",385,3508
"grounded theory",387,3509
"assessment system",388,3510
"parental education",388,3510
"social skills",388,3510
"classroom environment",389,3513
"collaborative learning",389,3513
"randomized controlled trial",389,3513
"technology integration",389,3513
"instructional strategies",390,3517
"pilot study",390,3517
"school setting",390,3517
"school classroom",391,3520
"exploratory factor analysis",392,3521
"information system",393,3522
"science methods",393,3522
"civil society",394,3524
"assessment policy",394,3524
"policy documents",395,3526
"field experience",396,3527
"school curricula",396,3527
"initial teacher training",397,3529
"pedagogical content knowledge",397,3529
"social interaction",397,3529
"based study",397,3529
"quantitative study",398,3533
"teaching mathematics",398,3533
"quasi-experimental study",398,3533
"distance education",401,3536
"family member",401,3536
"science content",402,3538
"education research",403,3539
"scientific knowledge",403,3539
"finnish basic education",404,3541
"theoretical model",404,3541
"finnish basic",404,3541
"multiple regression",405,3544
"teacher professional development",405,3544
"college students",406,3546
"comparative analysis",406,3546
"quality basic education",407,3548
"language arts",408,3549
"mobile learning",409,3550
"municipal school",409,3550
"quality basic",409,3550
"national journal",413,3553
"education professionals",414,3554
"reading skills",414,3554
"elementary classrooms",415,3556
"learning materials",415,3556
"digital literacy",417,3558
"elementary studentsâ€™",417,3558
"positive effects",417,3558
